"Activate","Name","auto_generated_guid","Technique","Path","Description"
"True","PowerShell: Encoded","a1000001-0001-0001-0001-000000000001","T1059.001","T1059.001","Encoded PowerShell exec"
"True","Cmd: Run Batch","a1000002-0001-0001-0001-000000000002","T1059.003","T1059.003","cmd /c batch test"
"True","VBScript: simple","a1000003-0001-0001-0001-000000000003","T1059.005","T1059.005","cscript .vbs"
"True","JScript: rundll32","a1000004-0001-0001-0001-000000000004","T1059.007","T1059.007","JScript via rundll32"
"True","System Info: systeminfo","a1000005-0001-0001-0001-000000000005","T1082","T1082","systeminfo + Get-ComputerInfo"
"True","System Owner","a1000006-0001-0001-0001-000000000006","T1033","T1033","whoami /all"
"True","System Service Discovery","a1000007-0001-0001-0001-000000000007","T1007","T1007","sc query"
"True","Software Discovery","a1000008-0001-0001-0001-000000000008","T1518","T1518","Get-ItemProperty Uninstall"
"True","Security Software Discovery","a1000009-0001-0001-0001-000000000009","T1518.001","T1518.001","Get-MpComputerStatus"
"True","System Time Discovery","a1000010-0001-0001-0001-000000000010","T1124","T1124","net time, w32tm"
"True","Network Config Discovery","a1000011-0001-0001-0001-000000000011","T1016","T1016","ipconfig /all"
"True","Internet Connection Check","a1000012-0001-0001-0001-000000000012","T1016.001","T1016.001","Test-NetConnection (will fail post-lockdown — that's the test)"
"True","Network Connection Enum","a1000013-0001-0001-0001-000000000013","T1049","T1049","netstat -anob"
"True","Process Discovery","a1000014-0001-0001-0001-000000000014","T1057","T1057","tasklist /v + Get-Process"
"True","File and Directory Discovery","a1000015-0001-0001-0001-000000000015","T1083","T1083","dir /s c:\users"
"True","Network Share Discovery","a1000016-0001-0001-0001-000000000016","T1135","T1135","net view + net share"
"True","Remote System Discovery","a1000017-0001-0001-0001-000000000017","T1018","T1018","arp -a + net view /domain"
"True","Browser Bookmark Discovery","a1000018-0001-0001-0001-000000000018","T1217","T1217","Read Chrome/Edge bookmark JSON"
"True","Query Registry","a1000019-0001-0001-0001-000000000019","T1012","T1012","reg query HKLM"
"True","Domain Trust Discovery","a1000020-0001-0001-0001-000000000020","T1482","T1482","nltest /trusted_domains"
"True","Account Discovery: Local","a1000021-0001-0001-0001-000000000021","T1087.001","T1087.001","net user, Get-LocalUser"
"True","Account Discovery: Domain","a1000022-0001-0001-0001-000000000022","T1087.002","T1087.002","net user /domain"
"True","Account Discovery: Email","a1000023-0001-0001-0001-000000000023","T1087.003","T1087.003","Outlook GAL enumeration stub"
"True","Permission Groups: Local","a1000024-0001-0001-0001-000000000024","T1069.001","T1069.001","net localgroup Administrators"
"True","Permission Groups: Domain","a1000025-0001-0001-0001-000000000025","T1069.002","T1069.002","net group /domain"
"True","Boot or Logon Autostart: Registry Run","a1000026-0001-0001-0001-000000000026","T1547.001","T1547.001","Add Run key (cleaned next iter)"
"True","Boot or Logon Autostart: Startup Folder","a1000027-0001-0001-0001-000000000027","T1547.001","T1547.001","Drop .lnk in Startup"
"True","Boot or Logon: Accessibility Features","a1000028-0001-0001-0001-000000000028","T1546.008","T1546.008","sethc.exe stickyKeys hijack (registry only, no exec)"
"True","Scheduled Task: at","a1000029-0001-0001-0001-000000000029","T1053.002","T1053.002","schtasks /create /tn test"
"True","Scheduled Task: schtasks","a1000030-0001-0001-0001-000000000030","T1053.005","T1053.005","schtasks /create /sc minute"
"True","Indicator Removal: clear evt","a1000031-0001-0001-0001-000000000031","T1070.001","T1070.001","wevtutil cl Application"
"True","Indicator Removal: Timestomp","a1000032-0001-0001-0001-000000000032","T1070.006","T1070.006","Set-ItemProperty LastWriteTime"
"True","Indicator Removal: File Delete","a1000033-0001-0001-0001-000000000033","T1070.004","T1070.004","Remove-Item test file"
"True","Masquerading: Legit Name","a1000034-0001-0001-0001-000000000034","T1036.005","T1036.005","Copy notepad to svchost-test"
"True","Masquerading: Right-to-Left Override","a1000035-0001-0001-0001-000000000035","T1036.002","T1036.002","RTLO unicode filename"
"True","Process Injection: harmless demo","a1000036-0001-0001-0001-000000000036","T1055","T1055","Atomic demo non-malicious"
"True","Process Injection: DLL injection (test)","a1000037-0001-0001-0001-000000000037","T1055.001","T1055.001","Inject test DLL"
